World_ID,Heuristic,Success,Collided,Timeout,Time_Taken(s),Nav_Metric
90,orig,True,False,False,12.3370,0.4568
90,orig,True,False,False,12.4190,0.4538
90,orig,True,False,False,12.4390,0.4531
90,orig,True,False,False,12.4560,0.4525
93,orig,True,False,False,4.5640,0.5000
93,orig,True,False,False,7.5810,0.5000
93,orig,True,False,False,4.7380,0.5000
93,orig,True,False,False,7.2230,0.5000
93,orig,True,False,False,8.3210,0.5000
96,orig,True,False,False,10.6440,0.5000
96,orig,True,False,False,10.5340,0.5000
96,orig,True,False,False,10.4790,0.5000
96,orig,True,False,False,10.6800,0.5000
96,orig,True,False,False,10.6820,0.5000
99,orig,True,False,False,26.6330,0.2148
99,orig,False,True,False,6.2400,0.0000
99,orig,True,False,False,14.6910,0.3894
99,orig,True,False,False,14.7030,0.3891
99,orig,True,False,False,14.8360,0.3856
102,orig,False,True,False,11.1410,0.0000
102,orig,False,False,True,100.0860,0.0000
102,orig,True,False,False,12.4370,0.4230
102,orig,True,False,False,11.4530,0.4593
102,orig,True,False,False,12.0400,0.4369
105,orig,False,True,False,13.4860,0.0000
105,orig,True,False,False,13.5300,0.4160
105,orig,True,False,False,13.7170,0.4103
105,orig,True,False,False,16.5570,0.3399
105,orig,True,False,False,13.6840,0.4113
108,orig,True,False,False,9.0880,0.5000
108,orig,True,False,False,9.1320,0.5000
108,orig,True,False,False,9.1480,0.5000
108,orig,True,False,False,9.3630,0.5000
108,orig,True,False,False,8.7900,0.5000
111,orig,True,False,False,35.7860,0.1887
111,orig,True,False,False,34.5690,0.1953
111,orig,True,False,False,48.5150,0.1392
111,orig,True,False,False,98.7660,0.1250
111,orig,True,False,False,57.8980,0.1250
114,orig,False,True,False,13.7780,0.0000
114,orig,True,False,False,13.7200,0.4528
114,orig,True,False,False,13.9860,0.4442
114,orig,True,False,False,13.6380,0.4555
114,orig,True,False,False,14.0480,0.4422
117,orig,False,True,False,9.2770,0.0000
117,orig,False,True,False,8.7480,0.0000
117,orig,True,False,False,19.2070,0.3104
117,orig,False,True,False,8.1870,0.0000
117,orig,True,False,False,15.8540,0.3760
120,orig,False,True,False,9.2750,0.0000
120,orig,True,False,False,23.7620,0.2458
120,orig,True,False,False,30.2990,0.1928
120,orig,True,False,False,31.9460,0.1828
120,orig,True,False,False,28.6260,0.2040
123,orig,True,False,False,13.1290,0.4320
123,orig,True,False,False,13.1520,0.4313
123,orig,True,False,False,13.1100,0.4326
123,orig,True,False,False,13.0250,0.4355
123,orig,True,False,False,13.2420,0.4283
126,orig,True,False,False,11.8170,0.4725
126,orig,True,False,False,12.0570,0.4630
126,orig,True,False,False,11.7040,0.4770
126,orig,True,False,False,12.2960,0.4540
126,orig,True,False,False,12.1670,0.4589
129,orig,True,False,False,9.6360,0.5000
129,orig,True,False,False,10.0550,0.5000
129,orig,True,False,False,9.8520,0.5000
129,orig,True,False,False,12.8670,0.4447
129,orig,True,False,False,9.9570,0.5000
132,orig,False,True,False,15.8220,0.0000
132,orig,True,False,False,14.5630,0.3809
132,orig,True,False,False,14.4340,0.3844
132,orig,False,True,False,19.1170,0.0000
132,orig,False,True,False,14.3660,0.0000
135,orig,True,False,False,8.6940,0.5000
135,orig,True,False,False,8.8010,0.5000
135,orig,True,False,False,8.3860,0.5000
135,orig,True,False,False,8.6770,0.5000
135,orig,True,False,False,8.2840,0.5000
138,orig,True,False,False,16.5910,0.4112
138,orig,True,False,False,14.8680,0.4589
138,orig,True,False,False,15.5795,0.4300
138,orig,True,False,False,15.7295,0.4350
138,orig,True,False,False,15.8795,0.4400
141,orig,True,False,False,9.6290,0.4950
141,orig,True,False,False,9.6200,0.5000
141,orig,True,False,False,9.7790,0.5000
141,orig,True,False,False,9.9290,0.5050
141,orig,True,False,False,9.9380,0.5000
144,orig,True,False,False,10.6420,0.5000
144,orig,True,False,False,10.8740,0.4866
144,orig,True,False,False,11.1740,0.4966
144,orig,True,False,False,11.2250,0.4869
144,orig,True,False,False,11.2050,0.4878
147,orig,True,False,False,9.6410,0.5000
147,orig,True,False,False,9.8500,0.5000
147,orig,True,False,False,9.6105,0.5000
147,orig,True,False,False,9.5520,0.5000
147,orig,True,False,False,9.3990,0.5000
150,orig,True,False,False,21.4870,0.2518
150,orig,True,False,False,22.1780,0.2440
150,orig,True,False,False,24.9790,0.2166
150,orig,True,False,False,61.5100,0.1250
150,orig,True,False,False,21.7240,0.2491
153,orig,True,False,False,10.8808,0.4964
